Node,Interface,Status,Deployed_EPGs,Interface_Profile,Selector,Policy_Group,Switch_Profile
1007,eth1/24,up,None (Unbound),W7XPRABBYPW03_P1_DATA_ifp,W7XPRABBYPW03_P1_DATA,accbundle-W7XPRABBYPW03_P1_DATA_ifpg,1007-1008
1008,eth1/24,up,None (Unbound),W7XPRABBYPW03_P1_DATA_ifp,W7XPRABBYPW03_P1_DATA,accbundle-W7XPRABBYPW03_P1_DATA_ifpg,1007-1008
1007,eth1/21,up,None (Unbound),W7XSTPIPWP01_P1_DATA_ifp,W7XSTPIPWP01_P1_DATA,accbundle-W7XSTPIPWP01_P1_DATA_ifpg,1007-1008
1008,eth1/21,up,None (Unbound),W7XSTPIPWP01_P1_DATA_ifp,W7XSTPIPWP01_P1_DATA,accbundle-W7XSTPIPWP01_P1_DATA_ifpg,1007-1008
1007,eth1/20,up,None (Unbound),W7XPRABBYPW06_P1_DATA_ifp,W7XPRABBYPW06_P1_DATA,accbundle-W7XPRABBYPW06_P1_DATA_ifpg,1007-1008
1008,eth1/20,up,None (Unbound),W7XPRABBYPW06_P1_DATA_ifp,W7XPRABBYPW06_P1_DATA,accbundle-W7XPRABBYPW06_P1_DATA_ifpg,1007-1008
1007,eth1/19,up,None (Unbound),W7XPRABBYPW04_P1_DATA_ifp,W7XPRABBYPW04_P1_DATA,accbundle-W7XPRABBYPW04_P1_DATA_ifpg,1007-1008
1008,eth1/19,up,None (Unbound),W7XPRABBYPW04_P1_DATA_ifp,W7XPRABBYPW04_P1_DATA,accbundle-W7XPRABBYPW04_P1_DATA_ifpg,1007-1008
1007,eth1/18,up,None (Unbound),W7XPRPIPAWP01_DATA_ifp,W7XPRPIPAWP01_DATA,accbundle-W7XPRPIPAWP01_DATA_ifpg,1007-1008
1008,eth1/18,up,None (Unbound),W7XPRPIPAWP01_DATA_ifp,W7XPRPIPAWP01_DATA,accbundle-W7XPRPIPAWP01_DATA_ifpg,1007-1008
1007,eth1/17,up,None (Unbound),W7XPRPIPRWP01_P1_DATA_ifp,W7XPRPIPRWP01_P1_DATA,accbundle-W7XPRPIPRWP01_P1_DATA_ifpg,1007-1008
1008,eth1/17,up,None (Unbound),W7XPRPIPRWP01_P1_DATA_ifp,W7XPRPIPRWP01_P1_DATA,accbundle-W7XPRPIPRWP01_P1_DATA_ifpg,1007-1008
1007,eth1/22,up,None (Unbound),W7XSTPIPWP01_P2_DATA_ifp,W7XSTPIPWP01_P2_DATA,accbundle-W7XSTPIPWP01_P2_DATA_ifpg,1007-1008
1008,eth1/22,up,None (Unbound),W7XSTPIPWP01_P2_DATA_ifp,W7XSTPIPWP01_P2_DATA,accbundle-W7XSTPIPWP01_P2_DATA_ifpg,1007-1008
1007,eth1/16,up,None (Unbound),W7XPRABBYPW05_P1_DATA_ifp,W7XPRABBYPW05_P1_DATA,accbundle-W7XPRABBYPW05_P1_DATA_ifpg,1007-1008
1008,eth1/16,up,None (Unbound),W7XPRABBYPW05_P1_DATA_ifp,W7XPRABBYPW05_P1_DATA,accbundle-W7XPRABBYPW05_P1_DATA_ifpg,1007-1008
1007,eth1/23,up,None (Unbound),BOW7XDCXP001_P2_DATA_ifp,BOW7XDCXP001_P2_DATA,accbundle-BOW7XDCXP001_P2_DATA_ifpg,1007-1008
1008,eth1/23,up,None (Unbound),BOW7XDCXP001_P2_DATA_ifp,BOW7XDCXP001_P2_DATA,accbundle-BOW7XDCXP001_P2_DATA_ifpg,1007-1008
1007,eth1/15,up,None (Unbound),W7XBCKTSH10_P1_DATA_ifp,W7XBCKTSH10_P1_DATA,accbundle-W7XBCKTSH10_P1_DATA_ifpg,1007-1008
1008,eth1/15,up,None (Unbound),W7XBCKTSH10_P1_DATA_ifp,W7XBCKTSH10_P1_DATA,accbundle-W7XBCKTSH10_P1_DATA_ifpg,1007-1008
1003,eth1/26,up,Production-TNT/Network-Centric_ANP/VLAN194_192.168.4.0,W7th-PureStorage_MGMT,W7th-PureStorage_MGMT,accportgrp-Access_Vlan194_ifpg,1003
1003,eth1/25,up,Production-TNT/Network-Centric_ANP/VLAN194_192.168.4.0,W7th-Brocade-MGMT,W7th-Brocade-MGMT,accportgrp-Access_Vlan194_ifpg,1003
1003,eth1/1,down,None (Unbound),W7XPRSQLCWP02,W7XPRSQLCWP02_ifp,accbundle-W7XPRSQLCWP02,1003
1003,eth1/2,down,None (Unbound),W7XPRSQLCWP02,W7XPRSQLCWP02_ifp,accbundle-W7XPRSQLCWP02,1003
1003,eth1/3,down,None (Unbound),W7XPRSQLCWP02,W7XPRSQLCWP02_ifp,accbundle-W7XPRSQLCWP02,1003
1003,eth1/4,down,None (Unbound),W7XPRSQLCWP02,W7XPRSQLCWP02_ifp,accbundle-W7XPRSQLCWP02,1003
1008,eth1/1,up,Production-TNT/Network-Centric_ANP/VLAN197_192.168.7.0,L-1008-MGMT-UTIL,L1008-P1,accportgrp-1gbps_standard,1008
1008,eth1/25,up,Production-TNT/Network-Centric_ANP/VLAN22_10.7.22.0,W7XBCKTSH07_P1_DATA_ifp,W7XBCKTSH07_P1_DATA,accportgrp-1gbps_standard,1008
1005,eth1/11,down,None (Unbound),L1005-L1006-vPC-Generic,Cohesity-Test-srv_eth1_2,accbundle-w7x-cohesity-test-srv_ifpg,1005-1006
1006,eth1/11,down,None (Unbound),L1005-L1006-vPC-Generic,Cohesity-Test-srv_eth1_2,accbundle-w7x-cohesity-test-srv_ifpg,1005-1006
1005,eth1/17,up,None (Unbound),W7XPRSQLCWP02_DATA_ifp,W7XPRSQLCWP02_DATA,accbundle-W7XPRSQLCWP02_DATA_ifpg,1005-1006
1005,eth1/18,up,None (Unbound),W7XPRSQLCWP02_DATA_ifp,W7XPRSQLCWP02_DATA,accbundle-W7XPRSQLCWP02_DATA_ifpg,1005-1006
1006,eth1/17,up,Production-TNT/Network-Centric_ANP/VLAN18_10.6.2.0,W7XPRSQLCWP02_DATA_ifp,W7XPRSQLCWP02_DATA,accbundle-W7XPRSQLCWP02_DATA_ifpg,1005-1006
1006,eth1/18,up,None (Unbound),W7XPRSQLCWP02_DATA_ifp,W7XPRSQLCWP02_DATA,accbundle-W7XPRSQLCWP02_DATA_ifpg,1005-1006
1005,eth1/19,up,None (Unbound),W7XPRSQLCWP01_DATA_ifp,W7XPRSQLCWP01_DATA,accbundle-W7XPRSQLCWP01_DATA_ifpg,1005-1006
1005,eth1/20,up,None (Unbound),W7XPRSQLCWP01_DATA_ifp,W7XPRSQLCWP01_DATA,accbundle-W7XPRSQLCWP01_DATA_ifpg,1005-1006
1006,eth1/19,up,None (Unbound),W7XPRSQLCWP01_DATA_ifp,W7XPRSQLCWP01_DATA,accbundle-W7XPRSQLCWP01_DATA_ifpg,1005-1006
1006,eth1/20,up,None (Unbound),W7XPRSQLCWP01_DATA_ifp,W7XPRSQLCWP01_DATA,accbundle-W7XPRSQLCWP01_DATA_ifpg,1005-1006
1001,eth1/39,up,None (Unbound),w7x-cohesity-11_ifp,w7x-cohesity-11_ifsel,accbundle-w7x-cohesity-11_ifpg,1001-1002
1002,eth1/39,up,None (Unbound),w7x-cohesity-11_ifp,w7x-cohesity-11_ifsel,accbundle-w7x-cohesity-11_ifpg,1001-1002
1001,eth1/38,up,None (Unbound),w7x-cohesity-10_ifp,w7x-cohesity-10_ifsel,accbundle-w7x-cohesity-10_ifpg,1001-1002
1002,eth1/38,up,None (Unbound),w7x-cohesity-10_ifp,w7x-cohesity-10_ifsel,accbundle-w7x-cohesity-10_ifpg,1001-1002
